Domain,Concept (device),Description,,,,Provenance
IfcBuildingControlsDomain,actuator,"An actuator is a mechanical device for moving or controlling a mechanism or system. An actuator takes energy, usually created by air, electricity, or liquid, and converts that into some kind of motion.",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcactuator.htm
IfcBuildingControlsDomain,actuator types,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcactuatortypeenum.htm
IfcBuildingControlsDomain,alarm,"An alarm is a device that signals the existence of a condition or situation that is outside the boundaries of normal expectation or that activates such a device.

Alarms include the provision of break glass buttons and manual pull boxes that are used to activate alarms.",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcalarm.htm
IfcBuildingControlsDomain,alarm types,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcalarmtypeenum.htm
IfcBuildingControlsDomain,controller,"A controller is a device that monitors inputs and controls outputs within a building automation system.

A controller may be physical (having placement within a spatial structure) or logical (a software interface or aggregated within a programmable physical controller).",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifccontroller.htm
IfcBuildingControlsDomain,controller types,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifccontrollertypeenum.htm
IfcBuildingControlsDomain,flow instrument,"A flow instrument reads and displays the value of a particular property of a system at a point, or displays the difference in the value of a property between two points.

Instrumentation is typically for the purpose of determining the value of the property at a point in time. It is not the purpose of an instrument to record or integrate the values over time (although they may be connected to recording devices that do perform such a function). This entity provides for all forms of mechanical flow instrument (thermometers, pressure gauges etc.) and electrical flow instruments (ammeters, voltmeters etc.)",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcflowinstrument.htm
IfcBuildingControlsDomain,flow instrument types,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcflowinstrumenttypeenum.htm
IfcBuildingControlsDomain,sensor,A sensor is a device that measures a physical quantity and converts it into a signal which can be read by an observer or by an instrument.,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcsensor.htm
IfcBuildingControlsDomain,sensor type,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcsensortypeenum.htm
IfcBuildingControlsDomain,Unitary control element,"A unitary control element combines a number of control components into a single product, such as a thermostat or humidistat.

A unitary control element provides a housing for an aggregation of control or electrical distribution elements that, in combination, perform a singular (unitary) purpose. Each item in the aggregation may have its own geometric representation and location.",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcunitarycontrolelement.htm
IfcBuildingControlsDomain,Unitary control element type,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcbuildingcontrolsdomain/lexical/ifcunitarycontrolelementtypeenum.htm
IfcElectricalDomain,audio visual applicance,"An audio-visual appliance is a device that displays, captures, transmits, or receives audio or video.

Audio-visual appliances may be fixed in place or may be able to be moved from one space to another. They may require an electrical supply that may be supplied either by an electrical circuit or provided from a local battery source. Audio-visual appliances may be connected to data circuits including specialist circuits for audio visual purposes only.",,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcelectricaldomain/lexical/ifcaudiovisualappliance.htm
IfcElectricalDomain,audio visual applicance type,,,,,http://www.buildingsmart-tech.org/ifc/IFC4/Add1/html/schema/ifcelectricaldomain/lexical/ifcaudiovisualappliancetypeenum.htm
