ELECTRICACTUATOR	A device that electrically actuates a control element.
HANDOPERATEDACTUATOR	A device that manually actuates a control element.
HYDRAULICACTUATOR	A device that electrically actuates a control element.
PNEUMATICACTUATOR	A device that pneumatically actuates a control element.
THERMOSTATICACTUATOR	A device that thermostatically actuates a control element.
FIXEDPLATECOUNTERFLOWEXCHANGER	Heat exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air outlet location and exiting at secondary air inlet location.
FIXEDPLATECROSSFLOWEXCHANGER	Heat exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with secondary air flow in the direction perpendicular to primary air flow.
FIXEDPLATEPARALLELFLOWEXCHANGER	Heat exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air inlet location and exiting at secondary air outlet location.
ROTARYWHEEL	A heat wheel with a revolving cylinder filled with an air-permeable medium having a large internal surface area.
RUNAROUNDCOILLOOP	A typical coil energy recovery loop places extended surface, finned tube water coils in the supply and exhaust airstreams of a building.
HEATPIPE	A passive energy recovery device with a heat pipe divided into evaporator and condenser sections.
TWINTOWERENTHALPYRECOVERYLOOPS	An air-to-liquid, liquid-to-air enthalpy recovery system with a sorbent liquid circulates continuously between supply and exhaust airstreams, alternately contacting both airstreams directly in contactor towers.
THERMOSIPHONSEALEDTUBEHEATEXCHANGERS	Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and the condenser are usually at opposite ends of a bundle of straight, individual thermosiphon tubes and the exhaust and supply ducts are adjacent to each other.
THERMOSIPHONCOILTYPEHEATEXCHANGERS	Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and condensor coils are installed independently in the ducts and are interconnected by the working fluid piping.
BELL	An audible alarm.
BREAKGLASSBUTTON	An alarm activation mechanism in which a protective glass has to be broken to enable a button to be pressed.
LIGHT	A visual alarm.
MANUALPULLBOX	An alarm activation mechanism in which activation is achieved by a pulling action.
SIREN	An audible alarm.
WHISTLE	An audible alarm.
AMPLIFIER        A device that receives an audio signal and amplifies it to play through speakers.
CAMERA        A device that records images, either as a still photograph or as moving images known as videos or movies. Note that a camera may operate with light from the visible spectrum or from other parts of the electromagnetic spectrum such as infrared or ultraviolet.
DISPLAY        An electronic device that represents information in visual form such as a flat-panel display or television.
MICROPHONE        An acoustic-to-electric transducer or sensor that converts sound into an electrical signal. Microphones types in use include electromagnetic induction (dynamic microphones), capacitance change (condenser microphones) or piezoelectric generation to produce the signal from mechanical vibration.
PLAYER        A device that plays audio and/or video content directly or to another device, having fixed or removable storage media.
PROJECTOR        An apparatus for projecting a picture on a screen. Whether the device is an overhead, slide projector, or a film projector, it is usually referred to as simply a projector.
RECEIVER        A device that receives audio and/or video signals, switches sources, and amplifies signals to play through speakers.
